Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,MoSinceBuild,MoSinceRemodel,HasBeenRemodelled,TotalPorchSF,TotalBaths,TotalAreaSF,totalUnfinishedSF,MasVnrArea_na
1,5,3,0.21280428011329142,-0.20707075667997749,1,-1,3,3,0,4,0,5,2,2,0,5,0.6512560486888432,-0.5170226069245809,1.050633794388781,0.8783671184785841,1,1,12,13,1,0.5139277975655453,2,4,2,2,3,3,2,0.5752277397858798,5,-0.2885539602912867,-0.9442670601795543,-0.4591452183924629,1,0,1,4,-0.7931620226838977,1.1614536246672709,-0.12020053776139607,0.37020659090173846,1.1074304837085576,-0.2409783655768276,0.789469873399208,1.227164654525456,0.16372299845778207,-0.21138105725304607,2,0.9118972609389725,6,-0.9509005224342206,-1,1,1.0070600572898,1,0.3116178291833854,0.35088009452287533,4,4,2,-0.7519181986726792,0.21642900289369502,-0.3592018222665479,-0.1162994367056103,-0.27011580075868397,-0.06866821876665889,-1,-1,-1,-0.08765777628369735,-1.5985633054597659,0.1387299438258047,8,4,208500,-1.0549263508119362,-0.8873382515829159,-0.9541333402424635,-0.7681121544354013,1.6416931147099105,-0.008369552334329195,-0.9488476981810865,0
2,0,3,0.6455260753297334,-0.09185489899265299,1,-1,3,3,0,2,0,24,1,2,0,2,-0.07181150346759095,2.178880986325021,0.1566800251555641,-0.4294298225406638,1,1,8,8,2,-0.5705546376073152,3,4,1,2,3,1,0,1.1715906832019933,5,-0.2885539602912867,-0.6410083567062635,0.466305140359595,1,0,1,4,0.2570523528476983,-0.7948908642559706,-0.12020053776139607,-0.4823466423822181,-0.8196833496817808,3.9474551313537476,0.789469873399208,-0.7613596469253383,0.16372299845778207,-0.21138105725304607,3,-0.31857408931139725,6,0.6002891566204857,4,1,-0.019292936799079022,1,0.3116178291833854,-0.060710210732344984,4,4,2,1.6256377791357708,-0.7042419465576079,-0.3592018222665479,-0.1162994367056103,-0.27011580075868397,-0.06866821876665889,-1,-1,-1,-0.08765777628369735,-0.4889425007190725,-0.6142281156003023,8,4,181500,-0.18706482506482167,0.38477675650009996,-0.9541333402424635,0.7447558715761625,0.3684543643904051,-0.05936527462576919,-0.648327443055415,0
3,5,3,0.2993486391565798,0.07345480986307346,1,-1,0,3,0,4,0,5,2,2,0,5,0.6512560486888432,-0.5170226069245809,0.9844149966678019,0.8299301947371305,1,1,12,13,1,0.325803293504947,2,4,2,2,3,2,2,0.09287535908167038,5,-0.2885539602912867,-0.3015396587884008,-0.31326141799804985,1,0,1,4,-0.6276109881173407,1.1889432427786044,-0.12020053776139607,0.5148361572624097,1.1074304837085576,-0.2409783655768276,0.789469873399208,1.227164654525456,0.16372299845778207,-0.21138105725304607,2,-0.31857408931139725,6,0.6002891566204857,4,1,0.9310339095795127,1,0.3116178291833854,0.6315098481059801,4,4,2,-0.7519181986726792,-0.07033735841080914,-0.3592018222665479,-0.1162994367056103,-0.27011580075868397,-0.06866821876665889,-1,-1,-1,-0.08765777628369735,0.9905519056018519,0.1387299438258047,8,4,223500,-0.969517756214601,-0.8106075050636229,1.047353264289141,-0.8893969328920246,1.6416931147099105,0.16161618863713745,-0.31192417239235,0
4,6,3,0.06856368170781077,-0.09686428410949319,1,-1,0,3,0,0,0,6,2,2,0,5,0.6512560486888432,-0.5170226069245809,-1.8629933053342962,-0.7200513649893856,1,1,13,15,2,-0.5705546376073152,3,4,0,3,1,3,0,-0.4991025626916776,5,-0.2885539602912867,-0.061648445593111105,-0.6870886565087333,1,2,1,4,-0.5215548565981402,0.9369550767580463,-0.12020053776139607,0.3835277351718003,1.1074304837085576,-0.2409783655768276,-1.025689205597396,-0.7613596469253383,0.16372299845778207,-0.21138105725304607,2,0.29666158581378765,6,0.6002891566204857,2,5,0.8169946880140817,2,1.6497414486179223,0.7905333751364062,4,4,2,-0.7519181986726792,-0.17598812310194226,4.091121943324551,-0.1162994367056103,-0.27011580075868397,-0.06866821876665889,-1,-1,-1,-0.08765777628369735,-1.5985633054597659,-1.3671861750264094,8,0,140000,1.788353314492896,0.6149689960579791,1.047353264289141,0.8022065561082472,-0.2681650107693476,-0.12128865169394633,-0.07419919445711735,0
5,5,3,0.7609185540541179,0.37501979389685325,1,-1,0,3,0,2,0,15,2,2,0,5,1.3743236008452775,-0.5170226069245809,0.9513055978073124,0.7330563472542232,1,1,12,13,1,1.3660211394870785,2,4,2,2,3,0,2,0.4634096878953586,5,-0.2885539602912867,-0.1748046782323987,0.19961131776355862,1,0,1,4,-0.04559563221928872,1.6173231250135531,-0.12020053776139607,1.2988806485860482,1.1074304837085576,-0.2409783655768276,0.789469873399208,1.227164654525456,1.389546474090405,-0.21138105725304607,2,1.5271329360641575,6,0.6002891566204857,4,1,0.893020835724369,1,1.6497414486179223,1.6979029117217783,4,4,2,0.7799299481032349,0.5635672297359895,-0.3592018222665479,-0.1162994367056103,-0.27011580075868397,-0.06866821876665889,-1,-1,-1,-0.08765777628369735,2.1001727103425454,0.1387299438258047,8,4,250000,-0.9281910168933099,-0.7015690757993643,-0.9541333402424635,0.6043208649421776,1.6416931147099105,0.9350513100573107,-0.18633361801147239,0
6,4,3,0.789766673735214,0.3604925770580167,1,-1,0,3,0,4,0,11,2,2,0,0,-0.7948790556240252,-0.5170226069245809,0.7195398057838858,0.4908717285469551,1,1,12,13,2,-0.5705546376073152,3,4,5,2,3,3,2,0.6322330211418319,5,-0.2885539602912867,-1.1388957803191289,-0.5959112812622251,1,0,1,4,-0.9483661175900449,0.5017027899952643,-0.12020053776139607,-0.29204458138133493,1.1074304837085576,-0.2409783655768276,-1.025689205597396,1.227164654525456,-2.2879239528074637,-0.21138105725304607,3,-0.9338097644365821,6,-0.9509005224342206,-1,1,0.6269293187383633,2,0.3116178291833854,0.032833040462023275,4,4,2,-0.4327831680943638,-0.2514529550241802,-0.3592018222665479,10.798746129558177,-0.27011580075868397,-0.06866821876665889,-1,2,2,1.3232825859857877,1.360425507182083,0.8916880032519118,8,4,143000,-0.6692101171465519,-0.4188768517809164,1.047353264289141,1.3320295356819172,0.3684543643904051,-0.5037565688797463,-1.1417189066945772,0
7,0,3,0.5012854769242527,-0.0433640510616399,1,-1,3,3,0,4,0,21,2,2,0,2,1.3743236008452775,-0.5170226069245809,1.0837431932492705,0.9752409659614913,1,1,12,13,3,0.458597061077134,2,4,2,0,3,0,2,2.0288624143626564,5,-0.2885539602912867,-0.5663252431643337,1.4327853179725816,1,0,1,4,1.374521836171958,-0.7948908642559706,-0.12020053776139607,0.3397582611415972,1.1074304837085576,-0.2409783655768276,0.789469873399208,-0.7613596469253383,0.16372299845778207,-0.21138105725304607,2,0.29666158581378765,6,0.6002891566204857,2,1,1.0450731311449437,1,0.3116178291833854,0.7624703997780957,4,4,2,1.2825676212640817,0.15605713735590468,-0.3592018222665479,-0.1162994367056103,-0.27011580075868397,-0.06866821876665889,-1,-1,-1,-0.08765777628369735,0.6206783040216208,-0.6142281156003023,8,4,307000,-1.1045184379974855,-1.0084920618765365,1.047353264289141,0.8341236030705165,1.0050737395501579,0.9799761130283411,-0.5743187235095407,0
8,5,3,-1.662323499157957,-0.013508115765272338,1,-1,0,3,0,0,0,14,4,2,0,5,0.6512560486888432,0.3816119241586198,0.057351828574095556,-0.5747405937650247,1,1,6,6,3,0.7573830381145548,3,4,1,2,3,2,0,0.9106818954574437,1,-0.09018956511738195,-0.7949008330956947,0.11299281127937587,1,0,1,4,-0.14389155899318196,1.456967019364107,-0.12020053776139607,1.0933544227050944,1.1074304837085576,-0.2409783655768276,0.789469873399208,1.227164654525456,0.16372299845778207,-0.21138105725304607,3,0.29666158581378765,6,2.151478835675192,4,1,-0.13333215836451004,1,0.3116178291833854,0.051541690700896925,4,4,2,1.123000105974924,2.3747231958697,3.371216628302462,-0.1162994367056103,-0.27011580075868397,-0.06866821876665889,-1,-1,2,0.6178124048510453,1.730299108762314,0.8916880032519118,8,4,200000,-0.005227172051140528,0.6513151391460652,-0.9541333402424635,3.1002339373916357,1.6416931147099105,0.7577804659013526,-0.8008302590893379,0
9,4,4,-0.1910693954220544,-0.4405081031247306,1,-1,3,3,0,4,0,17,0,2,0,0,0.6512560486888432,-0.5170226069245809,-1.333242923566464,-1.6887898398184582,1,1,3,15,2,-0.5705546376073152,3,4,0,3,3,3,5,-0.9726849001103559,5,-0.2885539602912867,0.8707589113546186,-0.2403195178008433,1,2,1,1,-0.36376402677689046,0.9277918707209352,-0.12020053776139607,0.4919999099423037,-0.8196833496817808,-0.2409783655768276,0.789469873399208,-0.7613596469253383,-1.0621004771748408,4.327094583768245,3,0.9118972609389725,2,2.151478835675192,4,5,-1.729881260280544,2,0.3116178291833854,-0.02329291025459768,1,4,2,-0.03386437987146949,-0.7042419465576079,2.9949024863590967,-0.1162994367056103,-0.27011580075868397,-0.06866821876665889,-1,-1,-1,-0.08765777628369735,-0.8588161022993036,0.1387299438258047,8,0,129900,1.3310040660039404,1.6891994473280814,1.047353264289141,0.725605643398801,-0.2681650107693476,0.18589986591877553,0.849788455630768,0
10,14,3,-0.21991751510315052,-0.31026409008688555,1,-1,3,3,0,0,0,3,0,0,1,1,-0.7948790556240252,0.3816119241586198,-1.0683677326825478,-1.6887898398184582,1,1,8,8,2,-0.5705546376073152,3,4,0,3,3,3,2,0.8931418088863815,5,-0.2885539602912867,-0.9668983067074118,-0.15142157693549782,1,0,1,4,-0.22149360644625554,-0.7948908642559706,-0.12020053776139607,-0.8344054552338519,1.1074304837085576,-0.2409783655768276,-1.025689205597396,-0.7613596469253383,-1.0621004771748408,4.327094583768245,3,-0.9338097644365821,6,2.151478835675192,4,1,-1.4257766694393947,1,-1.0265057902511514,-1.2533866634605402,2,4,2,-0.7519181986726792,-0.6438700810198175,-0.3592018222665479,-0.1162994367056103,-0.27011580075868397,-0.06866821876665889,-1,-1,-1,-0.08765777628369735,-1.968436907039997,0.1387299438258047,8,4,118000,1.0582475864834189,1.6770840662987192,1.047353264289141,-1.131966489805271,-0.2681650107693476,-0.6130331166471177,-0.9712745828919576,0
